No.;Inclination;J-K color anomaly;Incli Err Down;Incli Err Up;Color Err Down ;Color Err Up
1;22.93103448275862;-0.2615036743923118;21.293;24.68;-0.31;-0.21
2;27.25985221674877;-0.4646329645481708;23.600;31.00;-0.42;-0.50
3;35.80049261083744;-0.5987644351126542;28.400;43.30;-0.65;-0.55
4;40.363300492610826;0.12270451425341222;32.057;48.800;0.073;0.172
5;52.062807881773395;-0.3621376080109826;42.70;61.42;-0.41;-0.31
6;53.11576354679802;0.14609545344423835;50.5;55.80;0.08;0.21
7;56.040640394088655;-0.3587216344989097;46.2;65.86;-0.39;-0.32
8;56.2746305418719;0.3855487361705566;38.61;74.06;0.34;0.42
9;62.007389162561566;-0.08638455947670187;44.47;79.44;-0.125;-0.047
10;80.14162561576353;0.0716183477347978;63.52;90.90;-0.036;0.183
11;81.42857142857142;0.05199063231850132;68.91;90.02;0.084;0.013
12;82.13054187192117;0.00283453121214583;70.54;91.25;-0.046;0.045
13;82.71551724137929;0.20285472018089334;68.91;90.90;0.084;0.32
14;83.53448275862067;-0.02990390050876157;71.25;90.90;-0.069;0.0094
15;83.76847290640391;0.6815795849148027;75.69;90.90;0.485;0.885
16;87.044;0.28497;76.28;90.90;0.236;0.334
17;88.6822660098522;0.566995073891626;80.00;90.90;0.498;0.636
18;90.78817733990147;0.026084147621739717;89.03;90.90;-0.0067;0.065
19;90.78817733990147;0.6391989017201005;89.5;90.90;0.515;0.754